"","小区名","地区","道路","厅室","面积","层数","联系人","月租"
"535","福宁小区","龙岗-龙岗中心城","上宁路25号","1室0厅","35","3/7","赵政峰",1000
"536","西丽九祥岭","南山-西丽","南天路","1室1厅","32","8/10","王宏炜",700
"537","医疗中心小区","福田-华强南","福华路17号","1室0厅","18","3/7","王希涛",2380
"538","合正汇一城","宝安-西乡","西乡大道","1室1厅","48","18/23","丘东林",1100
"539","美丽AAA花园","龙华-龙华中心区","中环路","1室1厅","35","11/16","马丽",1680
"540","水斗富豪新村","龙华-清湖","东环二路","1室0厅","25","3/12","陈丰盘",1500
"541","裕安花园","宝安-新安","冠春二街","1室1厅","35","11/16","马丽",850
"542","麒麟苑","南山-西丽","西丽湖路4048号","1室1厅","48","20/30","梁盼盼",1500
"543","美丽AAA花园","龙华-龙华中心区","中环路","1室0厅","29","6/6","陈星星",1000
"544","海丰苑","罗湖-国贸","人民南路3003号","1室0厅","25","8/8","吴昌柔",1350
"545","布吉中心广场","龙岗-布吉","吉华路69号","1室0厅","34","11/17","林建委",1400
"546","水晶之城","龙岗-横岗","龙岗大道","1室0厅","30","7/9","徐志伟",1100
"547","金洲嘉丽园","龙岗-坂田","石背路2号","1室1厅","45","8/12","范朝珍",2000
"548","南水小区","南山-蛇口","公园南路9号","1室0厅","30","6/13","曹世电",1000
"549","扬马小区","龙岗-坂田","坂雪岗大道","1室0厅","10","3/6","刘巧",700
"550","南国丽城","南山-西丽","留仙大道","1室2厅","56","6/16","潘耀栋",1000
"551","志健时代广场","龙岗-横岗","茂盛路1号","1室1厅","25","5/6","陈建洪",1300
"552","新世界家园","福田-梅林","梅华路","1室0厅","30","6/13","周永琨",600
"553","弓村二区","龙华-龙华中心区","三联路","1室0厅","25","6/18","姜逢达",1600
"554","如意家园","南山-南山中心","常兴路102号","1室1厅","50","8/10","蹇明兵",900
"555","桥头荔园小区","宝安-福永","荔园路","1室0厅","30","3/12","易玉姣",1380
"556","同泰时代中心","宝安-福永","蚝业路","1室1厅","42","20/30","梁盼盼",1200
"557","美丽365花园","龙华-龙华中心区","三联路","1室0厅","25","7/15","戴付强",780
"558","沙尾西村","福田-新洲","新洲路","1室0厅","30","2/6","郭经龙",1300
"559","美丽365花园","龙华-龙华中心区","三联路","1室1厅","45","5/9","张琦",1280
"560","桥头村","宝安-福永","桥荣路","1室1厅","38","12/15","温金金",1280
"561","万丰村","宝安-沙井","仁爱路","1室1厅","30","5/10","卜文往",1800
"562","恒大城市广场","龙岗-龙岗中心城","龙岗大道,近如意路","1室0厅","25","6/8","程帅男",1880
"563","南航明珠花园","宝安-西乡","航空路","1室0厅","24","2/6","陈旦",3200
"564","万象新天三期","宝安-西乡","宝安大道","1室1厅","25","4/8","温金金",700
"565","布吉中心广场","龙岗-布吉","吉华路69号","1室0厅","30","5/9","易玉姣",1800
"566","博岗大厦(壆岗大厦)","宝安-沙井","新沙路306号","1室1厅","48","18/23","丘东林",1500
"567","和成世纪名园","龙岗-坂田","五和大道","1室1厅","50","16/18","陈新国",960
"568","平湖花园","龙岗-平湖","顺昌街63号","1室1厅","43","9/15","肖乾群",1700
"569","龙都花园","南山-桃源村","龙珠二路1号","1室1厅","43","8/14","陈晨",560
"570","金域豪庭一期","宝安-福永","福一路","1室1厅","25","5/6","唐友园",600
"571","恒立听海花园","南山-科技园","高新南环路55号","1室0厅","30","6/12","周永琨",1500
"572","深业新岸线","宝安-宝安中心","兴业路","1室0厅","36","8/15","郑国栋",900
"573","和成世纪名园","龙岗-坂田","五和大道","1室0厅","30","5/12","吴秋凤",1280
"574","先科机电大厦","福田-八卦岭","八卦四路2号","1室0厅","29","11/21","徐会琴",1000
"575","泓瀚苑","龙岗-坂田","长发路","1室1厅","46","3/7","王峰",750
"576","金域豪庭一期","宝安-福永","福一路","1室0厅","28","3/9","淦鑫",3000
"577","世纪广场","南山-南油","东滨路4036号","1室1厅","60","17/22","张程",900
"578","医疗中心小区","福田-华强南","福华路17号","1室0厅","40","7/12","甘宇帆",1450
"579","华茂苑","福田-梅林","中康路1号","1室0厅","30","12/15","廖小芳",1380
"580","和成世纪名园","龙岗-坂田","五和大道","1室0厅","25","3/8","扶元超",1100
"581","万科四季花城南区(别墅)","龙华-梅林关口","永香西路","1室0厅","32","5/9","吴春妮",1510
"582","奥林华府","龙岗-大运","如意路","1室1厅","40","3/7","张华庆",1800
"583","万科云城","南山-西丽","创科路","1室0厅","28","3/7","周婷婷",1800
"584","半山语林花园","南山-桃源村","珠光路230号","1室0厅","32","7/10","代杰",700
"585","罗湖金岸","罗湖-人民南","沿河南路1070号","1室1厅","30","7/11","安妮",550
"586","岗头新围仔","龙岗-坂田","五和大道,近张衡路","1室0厅","28","5/8","李正",1950
"587","万科城","龙岗-坂田","坂雪岗大道","1室1厅","14","8/11","陈加赵",650
"588","隆盛花园","龙岗-横岗","茂盛路","1室1厅","35","6/8","窦苗苗",2400
"589","光雅园","龙岗-坂田","永香路","1室0厅","29","2/8","熊健辉",1380
"590","鹏达摩尔城","龙岗-龙岗中心城","龙岗大道6002号","1室1厅","49","6/7","张琦",3800
"591","都市阳光名苑","福田-车公庙","深南大道6017号","1室0厅","35","17/22","赵民华",1200
"592","金汐府","龙岗-龙岗中心城","同富路51号","1室1厅","45","6/15","谢艳鹏",1180
"593","鸿荣源禧园","宝安-沙井","宝安大道8230号","1室1厅","50","1/10","曾思思",1000
"594","新天CBC","福田-石厦","石厦北二街89号","1室0厅","30","9/12","高尚",1500
"595","华南西苑","龙岗-平湖","平吉大道北295号","1室0厅","32","6/12","谢艳鹏",960
"596","上李朗统建楼小区","龙岗-李朗","布澜路188号","1室1厅","40","12/16","陈新国",1450
"597","创业花园","龙华-民治","创业一路","1室1厅","30","1/10","张家港",1000
"598","佳华领汇广场","龙岗-坂田","吉华路","1室0厅","35","6/16","宁海龙",1680
"599","新世界家园","福田-梅林","梅华路","1室1厅","30","6/16","潘耀栋",1100
"600","上梅林综合楼","福田-梅林","西横街29号","1室0厅","30","6/13","彭天福",1100
"601","下十围村","宝安-宝安机场","围西街","1室0厅","30","5/12","吴秋凤",1000
"602","横岗联建楼","龙岗-横岗","塘坑路42号","1室0厅","25","3/8","孙法龙",800
"603","鸿荣源西城雅筑","宝安-宝安中心","玉律路","1室0厅","29","10/14","杨蝶",550
"604","美丽AAA花园","龙华-龙华中心区","中环路","1室1厅","42","9/15","杨冬杰",1100
"605","锦绣花园","龙华-龙华中心区","龙发路99号","1室1厅","38","3/6","刘素娟",1280
"606","下十围村","宝安-宝安机场","围西街","1室0厅","25","5/15","陈丰盘",2000
"607","大芬新村","龙岗-丹竹头","东西干道","1室0厅","30","3/9","九别木乃",1280
"608","水晶之城","龙岗-横岗","龙岗大道","1室0厅","28","6/9","付萍",1700
"609","固戍华庭","宝安-西乡","固戍一路38号","1室1厅","25","4/8","温金金",1500
"610","新世界家园","福田-梅林","梅华路","1室0厅","30","5/8","丁佳凯",1500
"611","中兆花园","龙岗-丹竹头","龙岗大道(布吉段)2582号","1室0厅","28","2/8","沈建兵",1550
"612","丽晶国际","宝安-宝安中心","创业一路1006号","1室0厅","28","6/10","熊桃",1600
"613","万象新天三期","宝安-西乡","宝安大道","1室1厅","34","8/32","袁丽娇",1500
"614","玉翠新村","龙华-大浪","玉翠一路","1室1厅","38","9/9","李云智",1600
"615","翡翠华庭","宝安-新安","前进一路","1室1厅","40","9/15","杨冬杰",1080
"616","瑞尚居(富通1号国际)","宝安-西乡","航城大道","1室0厅","30","3/7","刘堂",1680
"617","金汐府","龙岗-龙岗中心城","同富路51号","1室1厅","40","11/15","窦苗苗",550
"618","鸿荣源禧园","宝安-沙井","宝安大道8230号","1室0厅","28","16/20","陈新国",1380
"619","草埔新村","罗湖-草埔","稻田路1136号","1室0厅","30","2/6","林小晶",1500
"620","黄金豪庭","龙岗-丹竹头","黄金南路95号","1室0厅","28","3/7","周婷婷",1780
"621","创兴时代","龙岗-坂田","里浦街3号","1室1厅","45","17/23","赵民华",1300
"622","信义锦绣花园","龙岗-横岗","恒心路9号","1室0厅","26","5/8","李胜利",1280
"623","雪象花园","龙岗-坂田","雪岗南路","1室0厅","25","5/8","王飞",2680
"624","上梅林新村","福田-梅林","上梅林新村6号","1室0厅","30","3/8","九别木乃",1400
"625","福贸花园","福田-梅林","中康路49号","1室1厅","50","6/11","李忠宁",900
"626","新围村","南山-西丽","留仙大道","1室0厅","30","6/8","覃金雕",600
"627","白石龙一区","龙华-梅林关口","民塘路","1室0厅","30","6/10","丁佳凯",1380
"628","万象天成","龙岗-龙岗中心城","盘龙路2号","1室0厅","30","6/8","郭丹",900
"629","卧龙阁","龙岗-坂田","和磡北路2号","1室0厅","30","3/9","周秀龙",1200
"630","下沙三坊","福田-上下沙","祠堂后街","1室0厅","36","12/13","黄明鹏",1700
"631","福宁小区","龙岗-龙岗中心城","上宁路25号","1室0厅","35","3/7","赵政峰",800
"632","鹏达摩尔城","龙岗-龙岗中心城","龙岗大道6002号","1室0厅","30","6/12","周永琨",2000
"633","下十围村","宝安-宝安机场","围西街","1室0厅","35","7/12","马应凡",880
"634","六约商住楼","龙岗-横岗","六和路39-1号","1室0厅","20","2/8","吴洋",1000
"635","万象新天一期","宝安-西乡","固戍二路","1室1厅","39","12/18","杨绍海",850
"636","翡翠华庭","宝安-新安","前进一路","1室1厅","45","8/16","段晓飞",2100
"637","东二村","龙华-民治","龙峰二路","1室0厅","20","3/7","黄彪",1050
"638","光雅园","龙岗-坂田","永香路","1室0厅","30","3/7","郭红利",2000
"639","深南花园","南山-科技园","科兴路11号","1室0厅","22","16/34","文杰",2580
"640","博岗大厦(壆岗大厦)","宝安-沙井","新沙路306号","1室1厅","35","3/5","孙亚飞",950
"641","汇景豪苑","南山-科技园","科兴路10号","1室0厅","32","2/6","张垒",1500
"642","沙尾西村","福田-新洲","新洲路","1室0厅","26","4/6","喻上恩",1600
"643","雅然居花园","宝安-新安","前进一路331号","1室1厅","42","6/12","付萍",1000
"644","裕安居","宝安-新安","裕安二路125号","1室0厅","35","6/16","宁海龙",1380
"645","玉岭花园","龙岗-布吉","布沙路167号","1室1厅","49","6/7","张琦",1100
"646","富联新村","龙华-清湖","清湖路72号","1室0厅","32","5/8","颜小芳",1000
"647","固戍福华大厦","宝安-西乡","宝安大道","1室0厅","26","3/9","唐甸友",1580
"648","九祥岭综合楼","南山-西丽","南天路","1室1厅","25","5/6","陈建洪",1780
"649","众望楼","南山-西丽","沙河西路3283号","1室1厅","48","9/12","戴桃子",1700
"650","南昌路86号小区","宝安-西乡","南昌路86号","1室0厅","28","3/10","唐甸友",1880
"651","海关草埔生活区(草埔海关小区)","罗湖-草埔","布吉路1026号","1室0厅","30","8/12","郭丹",900
"652","万象新天二期","宝安-西乡","固戍二路","1室1厅","38","12/15","温金金",700
"653","美丽AAA花园","龙华-龙华中心区","中环路","1室1厅","35","11/16","马丽",1354
"654","向南新村","龙华-民治","民治大道","1室1厅","50","1/10","曾思思",2080
"655","奥林华府","龙岗-大运","如意路","1室1厅","50","3/6","何春燕",900
"656","万丰村","宝安-沙井","仁爱路","1室0厅","32","10/18","万松攀",1180
"657","宝安31区住宅楼","宝安-新安","上川路136号","1室0厅","35","8/12","宁海龙",1500
"658","西丽城市公寓","南山-西丽","留仙大道","1室0厅","35","2/13","吴素娟",550
"659","金地名津","福田-福田口岸","裕亨路3号","1室1厅","42","8/12","林可仪",700
"660","花样年花郡","宝安-宝安中心","明玉路","1室1厅","14","8/11","陈加赵",1280
"661","上合花园","宝安-新安","公园路","1室0厅","32","17/19","赵民华",1500
"662","万象天成","龙岗-龙岗中心城","盘龙路2号","1室0厅","30","6/8","郭丹",1500
"663","万象新天三期","宝安-西乡","宝安大道","1室1厅","34","10/21","袁丽娇",1480
"664","新围村","南山-西丽","留仙大道","1室0厅","30","6/8","覃金雕",1500
"665","景梅新村","福田-景田","景田北三街","1室0厅","30","3/7","刘泉",3000
"666","水斗富豪新村","龙华-清湖","东环二路","1室0厅","25","3/12","陈丰盘",1980
"667","英郡年华","龙岗-丹竹头","岭背路3号","1室0厅","31","6/9","李婷",1820
"668","华强城","宝安-福永","宝安大道","1室1厅","45","9/15","华艳萍",1200
"669","南景新村","龙华-民治","民治大道","1室0厅","30","5/13","吴秋凤",1280
"670","上岭排新村","龙华-龙华区政府","水泰路,近沿河路","1室0厅","30","4/8","谈涛",1220
"671","塘尾小区","南山-南头","北环大道","1室0厅","28","3/9","淦鑫",1380
"672","众望楼","南山-西丽","沙河西路3283号","1室1厅","48","9/12","戴桃子",1200
"673","上油松村","龙华-民治","油梅一路,近上油松一路","1室0厅","20","6/12","陈欢",650
"674","江南华府","龙华-龙华中心区","东环二路","1室1厅","45","8/18","屈琼",1250
"675","美丽AAA花园","龙华-龙华中心区","中环路","1室1厅","35","11/16","马丽",1600
"676","万象新天三期","宝安-西乡","宝安大道","1室1厅","34","12/21","袁子呈",1500
"677","新天石厦花园","福田-石厦","石厦二街,近石厦路","1室0厅","28","3/9","朱建君",1900
"678","新世界家园","福田-梅林","梅华路","1室0厅","38","6/18","朱伟南",1900
"679","龙光玖龙玺","龙华-梅林关口","新区大道","1室0厅","35","6/18","段晓飞",888
"680","蓝堡公寓","南山-西丽","官龙路9号","1室0厅","30","7/9","徐志伟",1840
"681","布吉中心广场","龙岗-布吉","吉华路69号","1室0厅","16","7/21","张鹏",1700
"682","美丽365花园","龙华-龙华中心区","三联路","1室1厅","45","8/12","赵芳兴",2380
"683","平山村","南山-桃源村","丽山路","1室0厅","15","7/8","刘巧",1500
"684","和成世纪名园","龙岗-坂田","五和大道","1室1厅","45","7/10","肖乾超",1000
"685","云景豪园","罗湖-国贸","春风路2033号","1室2厅","56","16/31","吴风",1280
"686","南山花园","南山-前海","前海路118号","1室1厅","50","6/10","徐善果",1100
"687","万丰村","宝安-沙井","仁爱路","1室0厅","29","7/12","郭兵",1260
"688","奥林华府","龙岗-大运","如意路","1室0厅","30","2/6","林小晶",750
"689","油松村","龙华-民治","工业路，近油松路","1室0厅","30","7/13","代杰",800
"690","光雅园","龙岗-坂田","永香路","1室0厅","30","3/7","郭红利",1600
"691","福景花园","龙华-龙华中心区","中环路139号","1室1厅","40","2/6","刘素娟",700
"692","锦岗楼","宝安-沙井","壆岗大道206-208号","1室0厅","29","3/7","李洪忠",1200
"693","万象新天三期","宝安-西乡","宝安大道","1室1厅","34","3/19","袁子呈",850
"694","西丽城市公寓","南山-西丽","留仙大道","1室0厅","35","2/13","吴素娟",1350
"695","大勘科技园","南山-西丽","沁园路","1室0厅","33","6/9","胡尚",1400
"696","熙璟城","龙岗-平湖","富安大道","1室0厅","32","10/12","黎美银",1380
"697","港岛银座","罗湖-东门","解放路","1室0厅","30","3/9","阿于大宝",1800
"698","鸿荣源西城雅筑","宝安-宝安中心","玉律路","1室0厅","27","10/14","杨欣",1820
"699","金地龙城中央","龙岗-龙岗中心城","龙城大道","1室0厅","32","3/8","卢思明",1200
"700","白石龙一区","龙华-梅林关口","民塘路","1室0厅","35","10/13","李星",1180
"701","佳华领汇广场","龙岗-坂田","吉华路","1室1厅","43","8/14","陈晨",1800
"702","华盛领寓","福田-景田","北环大道7039号","1室1厅","14","17/22","居瑞端",1300
"703","沙尾西村","福田-新洲","新洲路","1室0厅","30","3/8","九别木乃",1200
"704","万象新天一期","宝安-西乡","固戍二路","1室1厅","44","20/32","袁丽娇",1180
"705","南昌村105号小区","宝安-西乡","南昌路107号","1室0厅","28","11/13","陈德",1650
"706","19区综合楼","宝安-新安","新安二路","1室0厅","20","1/8","陈加赵",4000
"707","信义锦绣花园","龙岗-横岗","恒心路9号","1室0厅","26","5/8","李胜利",1600
"708","上步中路1043号小区","福田-上步","上步中路1043号","1室1厅","40","3/7","张华庆",1000
"709","东海国际公寓","福田-农科中心","深南大道7888号","1室1厅","77","13/75","陈柏军",1500
"710","水晶之城","龙岗-横岗","龙岗大道","1室0厅","28","6/9","付萍",1350
"711","景华新村","龙华-龙华中心区","和平路","1室0厅","28","12/13","肖磊",1200
"712","美丽AAA花园","龙华-龙华中心区","中环路","1室1厅","42","9/15","杨冬杰",1980
"713","美丽365花园","龙华-龙华中心区","三联路","1室0厅","30","3/8","谈涛",1780
"714","新莲大厦","福田-莲花","莲花北1116号","1室0厅","30","8/10","蒋淑月",1300
"715","卓越城市中心花园","龙岗-横岗","恒心路2号","1室0厅","30","6/9","李胜利",2000
"716","大益广场","宝安-西乡","西乡大道","1室1厅","38","8/12","陈锦沾",680
"717","集悦城红花岭","南山-桃源村","留仙大道1191-1号","1室0厅","32","5/9","吴春妮",1880
"718","骏凯豪庭","宝安-福永","同富路","1室0厅","29","2/7","李忠濮",2000
"719","汇景豪苑","南山-科技园","科兴路10号","1室1厅","60","2/9","龚雪梅",1880
"720","新华大厦(一期)","南山-西丽","新高路10号","1室0厅","30","7/8","钟小君",1800
"721","美丽365花园","龙华-龙华中心区","三联路","1室0厅","30","3/8","谈涛",2280
"722","下十围村","宝安-宝安机场","围西街","1室1厅","45","3/15","陈丰盘",1250
"723","固戍花园","宝安-西乡","固戍一路889号","1室1厅","45","15/24","丘东林",1350
"724","景龙新村","龙华-龙华中心区","人民路","1室0厅","27","2/6","许宏裕",1200
"725","百旺研发公寓","南山-西丽","沙河西路5328号","1室1厅","42","3/8","刘刚",1980
"726","平山村","南山-桃源村","丽山路","1室0厅","15","7/8","刘巧",900
"727","半山语林花园","南山-桃源村","珠光路230号","1室0厅","20","3/15","李舒柯",2000
"728","君悦豪庭","宝安-石岩","如意路","1室0厅","25","12/20","戴付强",680
"729","沙尾西村","福田-新洲","新洲路","1室0厅","30","3/7","宋曼玲",2000
"730","机场企岗山花园","宝安-宝安机场","机场路1004号","1室0厅","30","8/11","张中华",1800
"731","和成世纪名园","龙岗-坂田","五和大道","1室1厅","45","6/12","赵芳兴",1800
"732","万象新天一期","宝安-西乡","固戍二路","1室1厅","40","12/16","陈新国",1080
"733","丹竹头老围小区","龙岗-丹竹头","龙岗大道","1室0厅","23","2/6","张政",1250
"734","白石龙一区","龙华-梅林关口","民塘路","1室1厅","40","6/17","黄明鹏",1500
"735","THETOWN乐城","龙岗-横岗","龙岗大道","1室0厅","32","5/8","吴行军",1180
"736","鸿达兴花园","宝安-沙井","新沙路","1室1厅","60","17/22","张程",1300
"737","新阁小区","福田-梅林","林园东路9号","1室0厅","32","12/12","林可仪",1500
"738","如意小区","龙岗-龙岗中心城","如意路86号","1室0厅","32","9/16","马丽",1350
"739","东海国际公寓","福田-农科中心","深南大道7888号","1室1厅","77","13/75","陈柏军",2500
"740","御景城","宝安-松岗","宝安大道","1室1厅","45","12/19","郭晓雨",1350
"741","华美居","宝安-沙井","蚝乡路","1室0厅","28","4/8","宋曼玲",950
"742","万丰村","宝安-沙井","仁爱路","1室0厅","29","7/12","郭兵",1780
"743","洪福雅苑","宝安-宝安中心","翻身路","1室1厅","13","11/13","陈加赵",900
"744","大学城创客小镇","南山-桃源村","留仙大道1201号","1室0厅","32","5/9","吴春妮",2300
"745","碧水龙庭(一二期)","龙华-梅林关口","民康路","1室1厅","45","6/15","肖磊",1380
"746","美丽AAA花园","龙华-龙华中心区","中环路","1室1厅","42","9/15","杨冬杰",1880
"747","和成世纪名园","龙岗-坂田","五和大道","1室1厅","43","9/15","肖乾群",880
"748","万象新天一期","宝安-西乡","固戍二路","1室1厅","41","15/16","潘耀栋",1180
"749","赛格科技园公寓","福田-华强北","振兴路120号","1室1厅","20","5/10","张晓波",1180
"750","民乐新村","龙华-梅林关口","梅观路","1室0厅","36","2/9","石冬仙",700
"751","玉翠新村","龙华-大浪","玉翠一路","1室1厅","38","9/9","李云智",2400
"752","港铁天颂(别墅)","龙华-大浪","和平路","1室0厅","28","2/12","任晓凤",1280
"753","水围新家园","福田-皇岗","水围村198号","1室0厅","30","6/9","李星",800
"754","通博花园","龙华-民治","樟坑一区184号","1室1厅","42","5/10","戴文君",900
"755","新天石厦花园","福田-石厦","石厦二街,近石厦路","1室0厅","32","6/12","谢艳鹏",1100
"756","宝安31区住宅楼","宝安-新安","上川路136号","1室0厅","35","8/12","宁海龙",1363
"757","水斗富豪新村","龙华-清湖","东环二路","1室0厅","25","3/12","陈丰盘",2000
"758","万象新天一期","宝安-西乡","固戍二路","1室0厅","30","8/12","何飞龙",2000
"759","留仙居","南山-西丽","新高路19号","1室0厅","30","5/12","覃金雕",1780
"760","下十围村","宝安-宝安机场","围西街","1室0厅","25","5/15","陈丰盘",1980
"761","和成世纪名园","龙岗-坂田","五和大道","1室1厅","40","6/10","李碎兰",2900
"762","黄金豪庭","龙岗-丹竹头","黄金南路95号","1室0厅","30","6/8","沈建州",1650
"763","时光里","龙岗-丹竹头","岭背路22号","1室0厅","27","8/11","沈建州",1830
"764","万象新天一期","宝安-西乡","固戍二路","1室0厅","30","7/13","杨绍海",1880
"765","深新大厦","福田-梅林","梅观路5号","1室1厅","23","16/20","游有盛",4800
"766","星河传奇","龙华-民治","民塘路","1室1厅","50","16/18","陈新国",1200
"767","旭飞华天苑","罗湖-泥岗","坭岗东路1120号","1室1厅","28","17/31","罗车",1800
"768","奥林华府","龙岗-大运","如意路","1室0厅","30","2/6","林小晶",1450
"769","华南西苑","龙岗-平湖","平吉大道北295号","1室0厅","28","3/6","赵永刚",700
"770","万象天成","龙岗-龙岗中心城","盘龙路2号","1室0厅","30","6/8","郭丹",1820
"771","南国丽城","南山-西丽","留仙大道","1室0厅","30","4/10","钟俊龙",2000
"772","上圩小区","龙岗-龙岗中心城","上福路19号","1室0厅","35","5/7","赵政峰",2000
"773","志健时代广场","龙岗-横岗","茂盛路1号","1室0厅","28","3/6","郑志萍",2180
"774","众望楼","南山-西丽","沙河西路3283号","1室1厅","30","9/15","覃金雕",600
"775","怡苑(三区)","龙岗-龙岗中心城","龙翔大道","1室0厅","40","5/8","程帅男",1900
"776","通业花园","福田-梅林","下梅林一街","1室1厅","14","3/17","居瑞端",1900
"777","新园综合楼","宝安-西乡","固戍二路","1室0厅","27","8/10","陈德",1600
"778","留仙居","南山-西丽","新高路19号","1室0厅","32","2/15","吴素娟",3000
"779","星河名苑","宝安-沙井","西环路","1室0厅","28","8/15","景志龙",1980
"780","裕安居","宝安-新安","裕安二路125号","1室0厅","35","6/16","宁海龙",950
"781","机场企岗山花园","宝安-宝安机场","机场路1004号","1室0厅","30","8/11","张中华",700
"782","上圩小区","龙岗-龙岗中心城","上福路19号","1室0厅","35","5/7","赵政峰",1600
"783","通业花园","福田-梅林","下梅林一街","1室1厅","14","3/17","居瑞端",2000
"784","深港一号(皇御苑四期)","福田-皇岗","福田南路","1室2厅","80","23/30","张楚安",2100
"785","新园综合楼","宝安-西乡","固戍二路","1室0厅","27","8/10","陈德",1700
"786","留仙居","南山-西丽","新高路19号","1室0厅","32","2/15","吴素娟",1200
"787","旭飞花园","福田-八卦岭","八卦二路","1室1厅","38","17/18","周永杰",2000
"788","星河名苑","宝安-沙井","西环路","1室0厅","28","8/15","景志龙",1980
"789","阳明公寓","龙岗-坂田","吉华路","1室1厅","42","5/8","赵延召",2100
"790","天安云谷","龙岗-坂田","雪岗北路","1室0厅","28","7/12","肖乾群",850
"791","名居新城","龙岗-龙岗中心城","龙岗大道,近如意路","1室1厅","35","8/13","黎美银",2000
"792","新围新村","龙华-龙华区政府","华宁路","1室0厅","28","3/6","谈涛",2180
"793","港铁天颂(别墅)","龙华-大浪","和平路","1室0厅","28","2/12","任晓凤",700
"794","南航明珠花园","宝安-西乡","航空路","1室0厅","35","10/18","丘东林",1200
"795","幸福花园","南山-桃源村","西丽湖路4221号","1室1厅","25","1/3","刘巧",750
"796","台湾花园","龙岗-坂田","吉华路","1室1厅","46","3/7","王峰",800
"797","翠隆花园","龙岗-布吉","布龙路","1室1厅","15","11/28","王宝鑫",2000
"798","万科城","龙岗-坂田","坂雪岗大道","1室1厅","45","8/18","段晓飞",1100
"799","美丽AAA花园","龙华-龙华中心区","中环路","1室0厅","32","7/10","代杰",1700
"800","布吉新村","龙岗-布吉","龙岗大道","1室0厅","26","2/6","余小玲",1880
"801","白石龙一区","龙华-梅林关口","民塘路","1室1厅","40","6/17","黄明鹏",1180
"802","新洲村","福田-新洲","新南街","1室0厅","29","3/9","阳艳",800
"803","旭飞花园","福田-八卦岭","八卦二路","1室1厅","52","11/18","周永杰",1930
"804","景龙新村","龙华-龙华中心区","人民路","1室0厅","29","3/6","李凌云",1000
"805","恒大城市广场","龙岗-龙岗中心城","龙岗大道,近如意路","1室0厅","25","3/5","叶秋菁",900
"806","星海名城(五期)","南山-前海","前海路","1室2厅","56","26/31","殷新星",1580
"807","新安湖花园二三期","宝安-新安","新圳东路","1室0厅","28","6/10","熊桃",3500
"808","如意大厦","龙岗-龙岗中心城","余岭西路12号","1室0厅","30","6/13","周永琨",800
"809","固戍华庭","宝安-西乡","固戍一路38号","1室1厅","25","4/8","温金金",1880
"810","景梅新村","福田-景田","景田北三街","1室0厅","30","3/7","刘泉",4900
"811","玉翠新村","龙华-大浪","玉翠一路","1室1厅","42","8/17","赵海英",1500
"812","壹方中心(壹方中心玖誉)","宝安-宝安中心","宝华路","1室0厅","30","8/26","黎秋丽",900
"813","泰富华庭","宝安-沙井","新二路148号","1室0厅","31","5/10","戴文君",1000
"814","泓瀚苑","龙岗-坂田","长发路","1室0厅","28","5/11","骆顺华",2000
"815","塘坑水库小区","龙岗-横岗","联花街","1室0厅","23","3/7","孙法龙",1700
"816","灵芝园新村","宝安-新安","前进一路62号","1室0厅","28","8/15","景志龙",3000
"817","金鼎大厦","罗湖-国贸","嘉宾路1013号","1室1厅","48","20/30","梁盼盼",1480
"818","西丽城市公寓","南山-西丽","留仙大道","1室0厅","35","2/13","吴素娟",1580
"819","万象新天三期","宝安-西乡","宝安大道","1室1厅","42","10/18","袁子呈",1980
"820","佳华领汇广场","龙岗-坂田","吉华路","1室1厅","43","8/14","陈晨",3300
"821","濠景时代","宝安-沙井","民主大道29号","1室1厅","53","9/24","黄永周",1050
"822","众望楼","南山-西丽","沙河西路3283号","1室0厅","30","8/13","覃金雕",1900
"823","缔梦园(缔梦园一期)","福田-景田","莲花路","1室1厅","42","10/16","张晓",1780
"824","文汇花园","宝安-新安","宝民一路204号","1室1厅","40","9/12","杨冬杰",2580
"825","固戍华庭","宝安-西乡","固戍一路38号","1室1厅","42","7/8","韦素港",1200
"826","华南西苑","龙岗-平湖","平吉大道北295号","1室0厅","28","3/6","赵永刚",950
"827","上合花园","宝安-新安","公园路","1室1厅","40","5/10","尹芳艳",950
"828","固戍花园","宝安-西乡","固戍一路889号","1室0厅","28","6/12","李新伟",1200
"829","深业上城","福田-莲花","笋岗西路","1室1厅","108","17/47","曹庆军",1500
"830","南山花园","南山-前海","前海路118号","1室1厅","50","6/10","徐善果",1380
"831","玉翠新村","龙华-大浪","玉翠一路","1室1厅","38","9/9","李云智",4800
"832","翡翠华庭","宝安-新安","前进一路","1室1厅","45","8/16","段晓飞",1280
"833","红山6979","龙华-民治","民繁路,近民宝路","1室0厅","35","15/26","代杰",1500
"834","深业新岸线","宝安-宝安中心","兴业路","1室0厅","35","6/8","张中华",900
"835","百合星城(一期)","龙岗-布吉","龙岗大道","1室0厅","14","12/28","温泽军",4500
"836","鸿景花苑","宝安-石岩","北环路","1室0厅","40","4/9","杨彬",900
"837","华强城","宝安-福永","宝安大道","1室0厅","35","5/8","汪祖溪",2180
"838","南联新村","龙岗-龙岗中心城","银珠路69号","1室0厅","30","3/8","宋曼玲",600
"839","裕安居","宝安-新安","裕安二路125号","1室0厅","35","6/16","宁海龙",1600
"840","三围社区","宝安-西乡","宝安大道","1室0厅","25","2/12","周洋洋",980
"841","扬马小区","龙岗-坂田","坂雪岗大道","1室0厅","28","3/6","余小玲",980
